codigo,descricao,cd_mun
444,AMPARO,2500734
445,CAPITAO POCO,1502301
446,APARECIDA,2500775
447,CASTANHAL,1502400
448,AREIA DE BARAUNAS,2501153
449,CHAVES,1502509
450,ASSUNCAO,2501351
451,COLARES,1502608
452,BARAUNA,2501534
453,CONCEICAO DO ARAGUAIA,1502707
454,BARRA DE SANTANA,2501575
455,CURRALINHO,1502806
456,BERNARDINO BATISTA,2502052
457,CURUCA,1502905
458,BOA VISTA,2502151
459,FARO,1503002
460,CACIMBAS,2503555
461,GURUPA,1503101
462,CAJAZEIRINHAS,2503753
463,IGARAPE-ACU,1503200
464,CAPIM,2504033
465,IGARAPE-MIRI,1503309
466,CARAUBAS,2504074
467,INHANGAPI,1503408
468,CASSERENGUE,2504157
469,IRITUIA,1503507
470,CATURITE,2504355
471,ITAITUBA,1503606
472,COXIXOLA,2504850
473,ITUPIRANGA,1503705
474,CUITE DE MAMANGUAPE,2505238
475,JACUNDA,1503804
476,CURRAL DE CIMA,2505279
477,JURUTI,1503903
478,DAMIAO,2505352
479,LIMOEIRO DO AJURU,1504000
480,GADO BRAVO,2506251
481,MAGALHAES BARATA,1504109
482,LOGRADOURO,2508554
483,MARABA,1504208
484,MARCACAO,2509057
485,MARACANA,1504307
486,MARIZOPOLIS,2509156
487,MARAPANIM,1504406
488,MATINHAS,2509339
489,MELGACO,1504505
490,MATO GROSSO,2509370
491,MOCAJUBA,1504604
492,MATUREIA,2509396
493,MOJU,1504703
494,PARARI,2510659
495,MONTE ALEGRE,1504802
496,POCO DANTAS,2512036
497,MUANA,1504901
498,POCO DE JOSE DE MOURA,2512077
499,NOVA TIMBOTEUA,1505007
500,PEDRO REGIS,2512721
501,OBIDOS,1505106
502,RIACHAO,2512747
503,OEIRAS DO PARA,1505205
504,RIACHAO DO BACAMARTE,2512754
505,ORIXIMINA,1505304
506,RIACHAO DO POCO,2512762
507,OUREM,1505403
508,RIACHO DE SANTO ANTONIO,2512788
509,PARAGOMINAS,1505502
510,SANTA CECILIA,2513158
511,PEIXE-BOI,1505601
512,SANTA INES,2513356
513,PONTA DE PEDRAS,1505700
514,JOCA CLAUDINO,2513653
515,PORTEL,1505809
516,SANTO ANDRE,2513851
517,PORTO DE MOZ,1505908
518,SAO BENTINHO,2513927
519,PRAINHA,1506005
520,SAO DOMINGOS DO CARIRI,2513943
521,PRIMAVERA,1506104
522,SAO DOMINGOS,2513968
523,SALINOPOLIS,1506203
524,SAO FRANCISCO,2513984
525,SALVATERRA,1506302
526,SAO JOSE DOS RAMOS,2514453
527,SANTA CRUZ DO ARARI,1506401
528,SAO JOSE DE PRINCESA,2514552
529,SANTA ISABEL DO PARA,1506500
530,SAO JOSE DO BREJO DO CRUZ,2514651
531,SANTA MARIA DO PARA,1506609
532,SERTAOZINHO,2515930
533,SANTANA DO ARAGUAIA,1506708
534,SOBRADO,2515971
535,SANTAREM,1506807
536,SOSSEGO,2516151
537,SANTAREM NOVO,1506906
538,TENORIO,2516755
539,SANTO ANTONIO DO TAUA,1507003
540,VIEIROPOLIS,2517209
541,SAO CAETANO DE ODIVELAS,1507102
542,ZABELE,2517407
543,SAO DOMINGOS DO CAPIM,1507201
544,ARACOIABA,2601052
545,SAO FELIX DO XINGU,1507300
546,CASINHAS,2604155
547,SAO FRANCISCO DO PARA,1507409
548,JAQUEIRA,2607950
549,SAO JOAO DO ARAGUAIA,1507508
550,JATOBA,2608057
551,SAO MIGUEL DO GUAMA,1507607
552,LAGOA GRANDE,2608750
553,SAO SEBASTIAO DA BOA VISTA,1507706
554,MANARI,2609154
555,SENADOR JOSE PORFIRIO,1507805
556,SANTA FILOMENA,2612554
557,SOURE,1507904
558,TAMANDARE,2614857
559,TOME-ACU,1508001
560,CAMPESTRE,2701357
561,TUCURUI,1508100
562,JEQUIA DA PRAIA,2703759
563,VIGIA,1508209
564,ALTO CAPARAO,3102050
565,VISEU,1508308
566,ANGELANDIA,3102852
567,REDENCAO,1506138
568,ARICANDUVA,3104452
569,RIO MARIA,1506161
570,BERIZAL,3106655
571,XINGUARA,1508407
572,BONITO DE MINAS,3108255
573,RONDON DO PARA,1506187
574,BRASILANDIA DE MINAS,3108552
575,BOM JESUS DO TOCANTINS,1501576
576,BUGRE,3109253
577,BREJO GRANDE DO ARAGUAIA,1501758
578,CABECEIRA GRANDE,3109451
579,CONCORDIA DO PARA,1502756
580,CAMPO AZUL,3111150
581,CURIONOPOLIS,1502772
582,CANTAGALO,3112059
583,DOM ELISEU,1502939
584,CATAS ALTAS,3115359
585,GARRAFAO DO NORTE,1503077
586,CATUTI,3115474
587,MAE DO RIO,1504059
588,CHAPADA GAUCHA,3116159
589,MEDICILANDIA,1504455
590,CONEGO MARINHO,3117836
591,OURILANDIA DO NORTE,1505437
592,CONFINS,3117876
593,PACAJA,1505486
594,CORREGO FUNDO,3119955
595,PARAUAPEBAS,1505536
596,CRISOLITA,3120151
597,RUROPOLIS,1506195
598,CUPARAQUE,3120839
599,SANTA MARIA DAS BARREIRAS,1506583
600,CURRAL DE DENTRO,3120870
601,AMAPA,1600105
602,DELTA,3121258
603,CALCOENE,1600204
604,DIVISA ALEGRE,3122355
605,MACAPA,1600303
606,DOM BOSCO,3122470
607,MAZAGAO,1600402
608,FRANCISCOPOLIS,3126752
609,OIAPOQUE,1600501
610,FREI LAGONEGRO,3126950
611,FERREIRA GOMES,1600238
612,FRUTA DE LEITE,3127073
613,LARANJAL DO JARI,1600279
614,GAMELEIRAS,3127339
615,SANTANA,1600600
616,GLAUCILANDIA,3127354
617,TARTARUGALZINHO,1600709
618,GOIABEIRA,3127370
619,SAO GERALDO DO ARAGUAIA,1507458
620,GOIANA,3127388
621,IPIXUNA DO PARA,1503457
622,GUARACIAMA,3128253
623,ULIANOPOLIS,1508126
624,IBIRACATU,3129657
625,BREU BRANCO,1501782
626,IMBE DE MINAS,3130556
627,GOIANESIA DO PARA,1503093
628,INDAIABIRA,3130655
629,NOVO REPARTIMENTO,1505064
630,JAPONVAR,3135357
631,JACAREACANGA,1503754
632,JENIPAPO DE MINAS,3135456
633,NOVO PROGRESSO,1505031
634,JOSE GONCALVES DE MINAS,3136520
635,TRAIRAO,1508050
636,JOSE RAYDAN,3136553
637,TERRA SANTA,1507979
638,JOSENOPOLIS,3136579
639,BRASIL NOVO,1501725
640,JUVENILIA,3136959
641,VITORIA DO XINGU,1508357
642,LEME DO PRADO,3138351
643,ACRELANDIA,1200013
644,LUISBURGO,3138674
645,BUJARI,1200138
646,LUISLANDIA,3138682
647,CAPIXABA,1200179
648,MARIO CAMPOS,3140159
649,PORTO ACRE,1200807
650,MARTINS SOARES,3140530
651,EPITACIOLANDIA,1200252
652,MIRAVANIA,3142254
653,JORDAO,1200328
654,MONTE FORMOSO,3143153
655,MARECHAL THAUMATURGO,1200351
656,NAQUE,3144359
657,PORTO WALTER,1200393
658,NATALANDIA,3144375
659,RODRIGUES ALVES,1200427
660,NINHEIRA,3144656
661,SANTA ROSA DO PURUS,1200435
662,NOVA BELEM,3144672
663,PEDRA BRANCA DO AMAPARI,1600154
664,NOVA PORTEIRINHA,3145059
665,SERRA DO NAVIO,1600055
666,NOVO ORIENTE DE MINAS,3145356
668,NOVORIZONTE,3145372
669,ITAUBAL,1600253
670,OLHOS-D'AGUA,3145455
671,PORTO GRANDE,1600535
672,ORATORIOS,3145851
673,PRACUUBA,1600550
674,ORIZANIA,3145877
675,ALTO PARAISO,1100403
676,PADRE CARVALHO,3146255
677,CACAULANDIA,1100601
678,PAI PEDRO,3146552
679,CAMPO NOVO DE RONDONIA,1100700
680,PATIS,3147956
681,CANDEIAS DO JAMARI,1100809
682,PEDRA BONITA,3148756
683,ITAPUA DO OESTE,1101104
684,PERIQUITO,3149952
685,MONTE NEGRO,1101401
686,PIEDADE DE CARATINGA,3150158
687,RIO CRESPO,1100262
688,PINGO D'AGUA,3150539
689,NOVO HORIZONTE DO OESTE,1100502
690,PINTOPOLIS,3150570
691,CASTANHEIRAS,1100908
692,PONTO CHIQUE,3152131
693,GOVERNADOR JORGE TEIXEIRA,1101005
694,PONTO DOS VOLANTES,3152170
695,MINISTRO ANDREAZZA,1101203
696,REDUTO,3154150
697,MIRANTE DA SERRA,1101302
698,ROSARIO DA LIMEIRA,3156452
699,SERINGUEIRAS,1101500
700,SANTA BARBARA DO MONTE VERDE,3157278
701,AFONSO CUNHA,2100105
702,SANTA CRUZ DE MINAS,3157336
703,ALCANTARA,2100204
704,SANTA CRUZ DE SALINAS,3157377
705,ALDEIAS ALTAS,2100303
706,SANTA HELENA DE MINAS,3157658
707,ALTAMIRA DO MARANHAO,2100402
708,SANTO ANTONIO DO RETIRO,3160454
709,ALTO PARNAIBA,2100501
710,SAO DOMINGOS DAS DORES,3160959
711,AMARANTE DO MARANHAO,2100600
712,SAO FELIX DE MINAS,3161056
713,ANAJATUBA,2100709
714,SAO GERALDO DO BAIXIO,3161650
715,ANAPURUS,2100808
716,SAO JOAO DA LAGOA,3162252
717,ARAIOSES,2100907
718,SAO JOAO DAS MISSOES,3162450
719,ARARI,2101004
720,SAO JOAO DO PACUI,3162658
721,AXIXA,2101103
722,SAO JOAQUIM DE BICAS,3162922
723,BACABAL,2101202
724,SAO JOSE DA BARRA,3162948
725,BACURI,2101301
726,SAO SEBASTIAO DA VARGEM ALEGRE,3164431
727,BALSAS,2101400
728,SAO SEBASTIAO DO ANTA,3164472
729,BARAO DE GRAJAU,2101509
730,SARZEDO,3165537
731,BARRA DO CORDA,2101608
732,SETUBINHA,3165552
733,BARREIRINHAS,2101707
734,SEM-PEIXE,3165560
735,BENEDITO LEITE,2101806
736,SERRANOPOLIS DE MINAS,3166956
737,BEQUIMAO,2101905
738,TAPARUBA,3168051
739,BREJO,2102101
740,TOCOS DO MOJI,3169059
741,BURITI,2102200
742,UNIAO DE MINAS,3170438
743,BURITI BRAVO,2102309
744,URUANA DE MINAS,3170479
745,CAJAPIO,2102408
746,VARGEM ALEGRE,3170578
747,CAJARI,2102507
748,VARGEM GRANDE DO RIO PARDO,3170651
749,CANDIDO MENDES,2102606
750,VARJAO DE MINAS,3170750
751,CANTANHEDE,2102705
752,VERDELANDIA,3171030
753,CAROLINA,2102804
754,VEREDINHA,3171071
755,CARUTAPERA,2102903
756,VERMELHO NOVO,3171154
757,CAXIAS,2103000
758,BREJETUBA,3201159
759,CEDRAL,2103109
760,MARATAIZES,3203320
761,CHAPADINHA,2103208
762,PONTO BELO,3204252
763,CODO,2103307
764,SAO ROQUE DO CANAA,3204955
765,COELHO NETO,2103406
766,SOORETAMA,3205010
767,COLINAS,2103505
768,VILA VALERIO,3205176
769,COROATA,2103604
770,ARMACAO DOS BUZIOS,3300233
771,CURURUPU,2103703
772,CARAPEBUS,3300936
773,DOM PEDRO,2103802
774,IGUABA GRANDE,3301876
775,DUQUE BACELAR,2103901
